Nachbarschaft,Qualitaet,Zustand,Baujahr,Wohnflaeche,Zimmer,Kamine,Verkaufsjahr,Preis
NridgHt,7,5,2007,1314,6,1,2009,207500
Somerst,8,5,2007,1702,7,1,2009,275500
Somerst,9,5,2007,1530,7,1,2009,250000
SawyerW,7,6,2007,1218,6,0,2009,159000
CollgCr,8,5,2007,1718,7,1,2009,297000
CollgCr,8,5,2007,1768,7,0,2009,212000
CollgCr,8,5,2007,1838,7,2,2009,272500
CollgCr,9,5,2007,1800,7,0,2009,239000
CollgCr,7,5,2007,1290,6,1,2009,200000
CollgCr,7,5,2007,1232,6,0,2009,194500
CollgCr,8,5,2007,1602,7,1,2009,293200
CollgCr,6,5,2007,1396,6,1,2009,170000
Edwards,9,5,2007,1698,8,1,2009,320000
Crawfor,8,5,2007,1648,5,1,2009,230000
Timber,9,5,2007,1620,6,1,2009,315500
Timber,8,5,2007,1466,7,0,2009,201000
Timber,9,5,2007,1978,7,1,2009,425000
StoneBr,9,5,2007,1710,6,1,2008,334000
NridgHt,10,5,2007,2332,9,1,2008,426000
NridgHt,10,5,2007,2084,7,1,2008,385000
NridgHt,8,5,2007,1582,7,0,2008,317500
NridgHt,8,5,2007,1710,6,1,2008,372402
NridgHt,8,5,2007,2464,9,1,2008,417500
NridgHt,9,5,2007,1950,7,1,2008,383000
NridgHt,8,5,2007,2088,10,1,2008,250000
NridgHt,9,5,2007,1800,6,1,2008,370967
Blmngtn,7,5,2007,1266,6,1,2008,159895
Blmngtn,7,5,2007,1246,5,1,2008,187687
NridgHt,7,6,2007,1358,6,1,2008,217300
Somerst,8,5,2007,1580,7,0,2008,235128
Somerst,6,5,2007,1933,9,1,2008,214000
Somerst,8,5,2007,1563,6,1,2008,245000
Somerst,8,5,2007,1861,7,1,2008,257000
Somerst,8,5,2007,1874,8,1,2008,297900
Somerst,8,5,2007,1372,6,0,2008,212700
Somerst,7,5,2007,1372,6,0,2008,250580
Somerst,7,5,2007,1428,6,0,2008,182000
Somerst,8,5,2007,2078,8,1,2008,339750
Somerst,7,6,2007,1665,7,0,2008,205950
Somerst,8,5,2007,1660,7,1,2008,256000
Somerst,7,5,2007,1218,6,0,2008,230348
SawyerW,7,5,2007,1162,6,0,2008,170000
Somerst,7,5,2007,1392,5,0,2008,146000
Somerst,7,5,2007,1392,5,0,2008,146000
CollgCr,7,5,2007,1356,6,1,2008,177439
CollgCr,8,5,2007,1615,7,1,2008,248500
CollgCr,8,5,2007,1234,7,0,2008,179900
CollgCr,7,6,2007,1564,6,0,2008,218836
CollgCr,7,5,2007,1361,6,0,2008,193000
Crawfor,8,5,2007,1648,5,1,2008,294464
Timber,8,5,2007,1646,7,1,2008,293077
Timber,8,5,2007,1780,6,1,2008,264966
Timber,8,5,2007,1728,7,1,2008,298751
Mitchel,5,5,2007,1092,5,0,2008,146000
StoneBr,8,6,2007,1419,7,1,2007,392000
NridgHt,9,5,2007,1828,9,1,2007,314813
NridgHt,8,5,2007,1694,7,0,2007,318000
NridgHt,8,5,2007,1734,7,1,2007,318000
NridgHt,8,5,2007,2122,7,1,2007,345474
NridgHt,9,5,2007,2656,8,1,2007,492000
NridgHt,9,5,2007,2552,8,2,2007,479069
NridgHt,10,5,2007,2290,7,1,2007,500067
NridgHt,8,5,2007,2152,7,1,2007,260116
NridgHt,8,5,2007,2100,8,2,2007,319500
NridgHt,8,5,2007,2161,8,1,2007,325624
NridgHt,8,5,2007,1818,8,1,2007,281500
NridgHt,9,5,2007,1869,6,1,2007,318061
Gilbert,6,5,2007,1496,7,0,2007,181755
Gilbert,7,5,2007,1456,8,1,2007,179540
Gilbert,7,5,2007,1302,6,0,2007,176485
Gilbert,7,5,2007,1340,6,0,2007,181134
Gilbert,6,5,2007,1504,6,0,2007,166000
Gilbert,7,5,2007,1456,7,0,2007,177594
Gilbert,7,6,2007,1258,6,0,2007,173500
Blmngtn,7,5,2007,1266,6,1,2007,185485
Somerst,7,6,2007,1369,5,0,2007,213133
Somerst,8,5,2007,1542,6,1,2007,260261
Somerst,8,5,2007,1464,6,0,2007,282922
Somerst,10,5,2007,1966,6,1,2007,419005
Somerst,7,5,2007,1528,6,1,2007,235876
Somerst,7,5,2007,1726,8,1,2007,311872
Somerst,7,6,2007,1689,7,0,2007,248328
Somerst,8,5,2007,1496,7,0,2007,225000
Somerst,8,5,2007,1338,6,0,2007,208900
Somerst,8,5,2007,1792,8,0,2007,255000
Somerst,5,5,2007,1588,8,0,2007,212109
Somerst,8,5,2007,2610,11,1,2007,303477
Somerst,8,5,2007,1880,8,1,2007,310013
Somerst,7,6,2007,1761,7,0,2007,227875
Somerst,8,5,2007,1584,6,1,2007,261329
CollgCr,7,5,2007,2696,10,1,2007,383970
CollgCr,8,5,2007,1651,7,1,2007,250000
CollgCr,7,5,2007,1316,6,1,2007,200141
CollgCr,8,5,2007,1651,7,1,2007,246500
CollgCr,8,5,2007,2574,10,1,2007,276000
CollgCr,7,5,2007,1208,6,0,2007,195400
CollgCr,7,5,2007,1476,7,0,2007,179400
Edwards,10,5,2007,4676,11,1,2007,184750
Timber,8,5,2007,1571,7,1,2007,239000
Mitchel,5,5,2007,1120,6,0,2007,147000
NridgHt,8,5,2006,1370,6,1,2010,205000
Blmngtn,7,5,2006,1145,6,0,2010,160000
CollgCr,7,5,2006,1208,6,0,2010,206000
Timber,5,5,2006,1444,7,0,2010,174000
Gilbert,9,5,2006,1746,7,2,2009,377500
NridgHt,10,5,2006,1718,7,1,2009,337500
NridgHt,9,5,2006,1652,6,2,2009,325000
NridgHt,8,5,2006,1717,7,1,2009,255500
NridgHt,9,5,2006,1531,6,1,2009,300000
NridgHt,8,5,2006,1606,6,1,2009,255900
NridgHt,8,5,2006,1324,6,1,2009,254000
Somerst,8,5,2006,1432,7,1,2009,245000
Somerst,8,5,2006,1448,6,1,2009,238500
Somerst,8,5,2006,1795,8,1,2009,270000
Somerst,7,5,2006,1550,7,0,2009,241000
Somerst,7,5,2006,1662,8,1,2009,291000
SawyerW,7,5,2006,1141,6,0,2009,152000
CollgCr,7,5,2006,1604,8,1,2009,220000
Timber,9,5,2006,1838,8,1,2009,315000
NridgHt,9,5,2006,2748,9,1,2008,390000
NridgHt,8,5,2006,1342,6,1,2008,234250
NridgHt,8,5,2006,1342,6,1,2008,219500
Somerst,8,5,2006,1574,7,1,2008,232000
Somerst,7,5,2006,1578,7,1,2008,240000
Somerst,8,5,2006,1460,6,1,2008,247000
Somerst,7,5,2006,1250,5,0,2008,171900
Timber,8,5,2006,1537,8,0,2008,294000
Timber,5,5,2006,1442,6,0,2008,172500
Timber,5,5,2006,1394,7,0,2008,167500
StoneBr,9,5,2006,2338,8,2,2007,591587
StoneBr,9,5,2006,1612,6,1,2007,319900
StoneBr,8,5,2006,2234,7,1,2007,441929
StoneBr,10,5,2006,2042,8,1,2007,455000
NridgHt,9,5,2006,1816,7,1,2007,356000
NridgHt,8,5,2006,1694,7,1,2007,322400
NridgHt,9,5,2006,2121,8,1,2007,415298
NridgHt,8,5,2006,2550,11,1,2007,338931
NridgHt,7,5,2006,2172,9,1,2007,280000
NridgHt,8,5,2006,1973,9,1,2007,395000
NridgHt,9,5,2006,2643,9,1,2007,380000
NridgHt,8,5,2006,1634,7,1,2007,250000
NridgHt,8,5,2006,1976,7,1,2007,440000
NridgHt,9,5,2006,1802,7,1,2007,372000
NridgHt,8,5,2006,1828,7,0,2007,250000
NridgHt,8,5,2006,1554,6,1,2007,209500
NridgHt,8,5,2006,1554,6,1,2007,209500
NridgHt,8,5,2006,1370,6,1,2007,202500
NridgHt,8,5,2006,1324,6,1,2007,221370
Gilbert,7,5,2006,1458,6,0,2007,168165
Gilbert,6,5,2006,1495,7,1,2007,171925
Gilbert,6,5,2006,1746,6,1,2007,198444
Gilbert,6,5,2006,1412,6,1,2007,156932
Blmngtn,7,5,2006,1258,6,1,2007,172500
Blmngtn,7,5,2006,1402,7,1,2007,194201
Gilbert,7,5,2006,1525,6,1,2007,206580
Somerst,9,5,2006,1905,8,1,2007,320000
Somerst,8,5,2006,1534,7,1,2007,215000
Somerst,8,5,2006,1636,8,1,2007,255000
Somerst,8,5,2006,1795,7,1,2007,147000
Somerst,8,5,2006,1588,7,1,2007,227000
Somerst,7,5,2006,1977,7,0,2007,250000
Somerst,8,5,2006,1830,7,0,2007,221300
Somerst,7,5,2006,1335,6,0,2007,210400
Somerst,8,5,2006,1959,8,1,2007,270000
Somerst,8,5,2006,1656,7,0,2007,249700
Somerst,8,5,2006,1685,5,1,2007,253000
SawyerW,6,5,2006,1100,6,0,2007,146000
SawyerW,7,5,2006,1143,5,0,2007,147000
SawyerW,7,5,2006,1486,7,0,2007,181000
Somerst,8,5,2006,1151,5,0,2007,166000
Somerst,8,5,2006,1565,5,0,2007,193800
Somerst,7,5,2006,1352,5,1,2007,208900
Somerst,7,5,2006,1352,5,1,2007,194000
Somerst,8,5,2006,1550,5,0,2007,207500
Somerst,7,5,2006,1241,4,0,2007,199900
Somerst,7,5,2006,1250,5,0,2007,164700
CollgCr,8,5,2006,2828,11,1,2007,424870
CollgCr,8,5,2006,2140,8,0,2007,360000
CollgCr,7,5,2006,1494,7,1,2007,279500
CollgCr,7,5,2006,1456,8,1,2007,155835
CollgCr,7,5,2006,1240,5,0,2007,194000
CollgCr,8,5,2006,1500,7,1,2007,212999
CollgCr,6,5,2006,1314,6,1,2007,176432
CollgCr,7,5,2006,1797,8,0,2007,213500
CollgCr,6,5,2006,1330,6,1,2007,167840
CollgCr,7,5,2006,1491,7,1,2007,168675
Edwards,5,5,2006,1125,5,0,2007,155000
Crawfor,8,5,2006,1625,5,1,2007,375000
Crawfor,8,5,2006,1625,5,1,2007,235000
Timber,7,5,2006,1689,7,0,2007,231713
Timber,8,5,2006,1564,6,1,2007,267300
Timber,8,5,2006,1484,6,1,2007,265900
Timber,8,5,2006,1646,6,1,2007,248900
Timber,8,5,2006,1776,7,1,2007,283463
Timber,10,5,2006,1824,8,1,2007,392000
Gilbert,7,5,2006,1670,7,1,2006,240000
Gilbert,7,5,2006,2021,9,1,2006,274725
StoneBr,10,5,2006,3390,10,1,2006,545224
StoneBr,9,5,2006,2473,11,1,2006,356383
StoneBr,8,5,2006,2576,10,1,2006,361919
StoneBr,10,5,2006,2698,11,1,2006,535000
StoneBr,10,5,2006,2945,10,1,2006,438780
NridgHt,9,5,2006,2589,11,1,2006,412083
NridgHt,9,5,2006,2596,9,0,2006,342643
NridgHt,10,5,2006,2076,7,1,2006,465000
NridgHt,7,5,2006,1740,8,0,2006,293000
NridgHt,8,5,2006,2389,10,1,2006,298236
NridgHt,8,5,2006,1970,8,1,2006,281000
NridgHt,9,5,2006,1686,6,1,2006,332200
NridgHt,9,5,2006,1666,6,1,2006,310090
Gilbert,7,5,2006,1492,8,0,2006,169985
Gilbert,7,5,2006,1496,7,1,2006,179665
Gilbert,7,5,2006,1863,9,1,2006,219210
Gilbert,6,5,2006,1326,6,0,2006,174190
Gilbert,6,5,2006,1456,8,0,2006,172785
Gilbert,7,5,2006,1492,8,0,2006,185101
Blmngtn,7,5,2006,1364,6,1,2006,210250
Blmngtn,8,5,2006,1567,7,1,2006,264561
Blmngtn,7,5,2006,1500,6,1,2006,246578
Gilbert,7,5,2006,2322,8,0,2006,287602
Somerst,8,5,2006,1670,6,1,2006,336820
Somerst,8,5,2006,1660,8,1,2006,290000
Somerst,8,5,2006,1504,7,0,2006,199000
Somerst,8,5,2006,1278,5,0,2006,198600
Somerst,9,5,2006,2640,11,1,2006,405749
Somerst,8,5,2006,1489,7,1,2006,232600
Somerst,8,5,2006,1939,8,1,2006,266000
Somerst,7,5,2006,1576,6,0,2006,197000
Somerst,6,5,2006,1262,5,0,2006,185000
Somerst,7,5,2006,1301,5,1,2006,187750
CollgCr,7,5,2006,1220,6,0,2006,194000
CollgCr,7,5,2006,1294,6,1,2006,193879
CollgCr,7,5,2006,1498,5,0,2006,204900
CollgCr,7,5,2006,1962,7,0,2006,239799
CollgCr,6,5,2006,1846,7,1,2006,233555
CollgCr,8,5,2006,1919,8,1,2006,233230
CollgCr,7,5,2006,1737,7,0,2006,203160
Mitchel,5,5,2006,1140,6,0,2006,84500
NridgHt,7,5,2005,1541,7,1,2010,220000
NridgHt,9,5,2005,1698,7,1,2010,275000
NridgHt,8,5,2005,1822,8,1,2010,259000
NridgHt,9,5,2005,1752,6,1,2010,319900
Gilbert,6,5,2005,1324,6,0,2010,199500
Somerst,8,5,2005,1595,6,1,2010,221500
Somerst,6,5,2005,1468,6,1,2010,271500
Somerst,6,5,2005,1236,4,0,2010,152000
StoneBr,7,5,2005,1530,7,1,2009,260000
NridgHt,6,5,2005,1358,6,1,2009,213000
NridgHt,6,5,2005,1306,5,1,2009,196000
NridgHt,6,5,2005,1306,5,1,2009,184500
Gilbert,7,5,2005,1456,8,1,2009,184000
Gilbert,6,5,2005,1490,7,1,2009,167800
Gilbert,6,5,2005,1484,8,1,2009,174000
Gilbert,6,5,2005,1560,6,1,2009,174000
Blmngtn,7,5,2005,1555,7,1,2009,192500
Blmngtn,7,5,2005,1504,7,1,2009,181000
Blmngtn,7,5,2005,1220,5,1,2009,180000
Blmngtn,7,5,2005,1145,5,1,2009,160200
Somerst,7,5,2005,1971,8,1,2009,253000
Somerst,9,5,2005,2490,9,2,2009,468000
Somerst,8,5,2005,1953,9,1,2009,252000
SawyerW,8,5,2005,1844,7,1,2009,257000
CollgCr,8,5,2005,1498,7,1,2009,237000
CollgCr,6,5,2005,1422,7,1,2009,173000
CollgCr,6,5,2005,1476,7,0,2009,173500
Edwards,6,5,2005,1072,5,0,2009,145500
StoneBr,8,5,2005,2500,9,1,2008,355000
StoneBr,9,5,2005,2504,11,1,2008,325000
NridgHt,10,5,2005,2790,10,1,2008,460000
NridgHt,9,5,2005,2331,9,1,2008,379000
NridgHt,7,5,2005,1367,6,1,2008,192000
NridgHt,9,5,2005,1684,6,1,2008,266000
Blmngtn,7,5,2005,1504,7,1,2008,191000
Gilbert,7,5,2005,1166,5,0,2008,190000
Gilbert,6,5,2005,1456,8,0,2008,176000
Somerst,7,5,2005,1768,7,0,2008,226700
Somerst,7,5,2005,1958,9,1,2008,250000
SawyerW,6,5,2005,1175,6,0,2008,146000
Somerst,6,5,2005,1200,5,0,2008,165000
CollgCr,7,5,2005,1456,7,1,2008,189000
Edwards,4,5,2005,1132,5,0,2008,176000
Edwards,6,5,2005,1072,5,0,2008,148000
Timber,8,5,2005,1964,7,1,2008,370000
StoneBr,9,5,2005,1922,8,1,2007,377426
StoneBr,8,5,2005,2541,10,1,2007,349265
NridgHt,10,5,2005,2046,7,2,2007,450000
NridgHt,9,5,2005,2758,9,1,2007,418000
NridgHt,7,5,2005,1614,7,0,2007,245700
NridgHt,8,5,2005,1721,7,0,2007,232698
NridgHt,6,5,2005,1362,6,1,2007,194700
NridgHt,6,5,2005,1302,5,1,2007,204000
NridgHt,6,5,2005,1302,5,1,2007,200000
NridgHt,6,5,2005,1362,6,1,2007,207000
NridgHt,9,5,2005,1577,6,1,2007,280000
NridgHt,9,5,2005,1561,6,1,2007,277500
Gilbert,6,5,2005,1536,6,1,2007,176000
Gilbert,6,5,2005,1484,8,1,2007,178900
Gilbert,6,5,2005,1326,6,0,2007,203000
Somerst,8,5,2005,1538,7,0,2007,260000
Somerst,7,5,2005,1506,7,1,2007,249000
CollgCr,7,5,2005,1274,6,0,2007,203000
CollgCr,7,5,2005,1546,7,0,2007,217000
CollgCr,7,5,2005,1270,6,0,2007,175900
CollgCr,7,5,2005,1795,7,0,2007,191000
CollgCr,7,5,2005,1190,5,0,2007,173500
CollgCr,5,5,2005,1536,6,0,2007,167000
Edwards,5,5,2005,1090,5,0,2007,157000
Edwards,5,5,2005,1408,6,0,2007,171500
Edwards,6,5,2005,1072,5,0,2007,140000
Timber,8,5,2005,2482,9,1,2007,281213
Gilbert,7,5,2005,2462,9,1,2006,320000
Gilbert,8,5,2005,2064,7,1,2006,250000
Gilbert,8,5,2005,1801,8,1,2006,239900
Gilbert,7,5,2005,2212,9,1,2006,309000
StoneBr,9,5,2005,2798,11,1,2006,457347
StoneBr,9,5,2005,2868,11,1,2006,556581
StoneBr,9,5,2005,2795,10,1,2006,401179
StoneBr,9,5,2005,1714,7,1,2006,318000
StoneBr,8,5,2005,1826,7,1,2006,319000
StoneBr,9,5,2005,2000,8,2,2006,470000
Somerst,7,5,2005,2318,8,1,2006,294323
NridgHt,9,5,2005,1868,7,1,2006,415000
NridgHt,8,5,2005,2376,9,1,2006,325300
NridgHt,9,5,2005,2206,10,1,2006,300000
NridgHt,8,5,2005,2098,8,1,2006,275500
NridgHt,9,5,2005,2091,8,1,2006,338500
NridgHt,9,5,2005,2324,11,2,2006,345000
NridgHt,8,5,2005,2253,8,1,2006,344133
NridgHt,8,5,2005,2358,10,1,2006,329900
NridgHt,9,5,2005,1792,6,1,2006,372397
NridgHt,9,5,2005,2728,10,2,2006,437154
NridgHt,8,5,2005,1904,8,1,2006,275000
NridgHt,7,5,2005,1364,6,1,2006,185850
NridgHt,9,5,2005,1565,6,1,2006,282500
NridgHt,7,5,2005,1368,6,1,2006,202500
NridgHt,7,5,2005,1368,6,1,2006,202665
Gilbert,6,5,2005,1316,6,1,2006,169990
Gilbert,6,5,2005,1456,8,1,2006,170440
Blmngtn,7,5,2005,1248,5,0,2006,167240
Blmngtn,7,5,2005,1142,6,0,2006,156820
Blmngtn,7,5,2005,1506,6,1,2006,213490
Gilbert,5,5,2005,1838,7,1,2006,192140
Somerst,8,5,2005,1964,8,1,2006,252000
Somerst,8,5,2005,2097,8,1,2006,423000
Somerst,7,5,2005,1616,7,0,2006,232000
Somerst,7,5,2005,1553,6,0,2006,186500
Somerst,6,5,2005,1716,7,0,2006,200825
Somerst,7,5,2005,1266,6,1,2006,176000
SawyerW,6,5,2005,1142,5,0,2006,139500
SawyerW,7,5,2005,1400,6,0,2006,186800
SawyerW,6,5,2005,1131,6,0,2006,132000
SawyerW,6,5,2005,1141,6,0,2006,142500
SawyerW,7,5,2005,1686,8,0,2006,184000
SawyerW,7,5,2005,1585,7,0,2006,184900
Somerst,8,5,2005,1247,4,1,2006,197000
Somerst,7,5,2005,1200,4,0,2006,151000
Somerst,7,5,2005,1223,4,0,2006,147400
Somerst,7,5,2005,1223,4,0,2006,149900
Somerst,7,5,2005,1200,4,0,2006,144152
CollgCr,7,5,2005,1876,7,0,2006,229800
CollgCr,7,5,2005,1208,6,0,2006,183600
CollgCr,7,5,2005,1614,7,0,2006,221500
CollgCr,7,5,2005,1734,7,0,2006,260000
CollgCr,8,5,2005,1590,6,0,2006,294900
CollgCr,7,5,2005,1809,8,0,2006,209700
CollgCr,7,5,2005,1614,7,1,2006,225000
CollgCr,7,5,2005,1596,6,0,2006,181000
CollgCr,7,5,2005,1611,6,0,2006,195800
CollgCr,7,5,2005,1552,7,0,2006,212900
CollgCr,7,5,2005,1336,6,0,2006,198000
CollgCr,6,5,2005,1500,6,0,2006,173900
CollgCr,6,5,2005,1456,8,1,2006,163990
CollgCr,7,5,2005,1310,6,1,2006,164990
Edwards,5,5,2005,1072,5,0,2006,145000
Edwards,6,5,2005,1072,5,0,2006,140000
Edwards,6,5,2005,1072,5,0,2006,142500
Crawfor,8,5,2005,1778,5,1,2006,375000
Timber,8,5,2005,1960,8,2,2006,320000
Timber,8,5,2005,2028,7,2,2006,369900
Timber,9,5,2005,1838,9,1,2006,359900
NridgHt,7,5,2004,1535,7,0,2010,214000
Blmngtn,8,5,2004,1269,6,1,2010,192000
Gilbert,7,5,2004,1374,7,1,2010,184500
Gilbert,7,5,2004,1733,7,1,2010,185088
Somerst,7,5,2004,1947,8,1,2010,254900
SawyerW,7,5,2004,2084,8,0,2010,233000
SawyerW,7,5,2004,1659,8,0,2010,181000
Somerst,7,5,2004,1488,6,1,2010,260000
Somerst,7,5,2004,1680,3,0,2010,190000
Somerst,7,5,2004,1200,4,0,2010,155000
Somerst,7,5,2004,1200,4,0,2010,151000
Somerst,7,5,2004,1200,4,0,2010,149500
CollgCr,6,5,2004,848,3,0,2010,143000
CollgCr,7,5,2004,1484,7,0,2010,213000
CollgCr,7,5,2004,1414,6,0,2010,185500
Crawfor,8,5,2004,1646,5,1,2010,246000
Mitchel,5,5,2004,1430,7,0,2010,173500
StoneBr,8,5,2004,2522,8,1,2009,375000
NridgHt,8,5,2004,1782,7,2,2009,296000
NridgHt,8,5,2004,1713,7,1,2009,274900
NridgHt,9,5,2004,2224,10,1,2009,350000
NridgHt,8,5,2004,1836,7,1,2009,280000
NridgHt,10,5,2004,2492,8,1,2009,552000
Gilbert,7,5,2004,1432,6,1,2009,188500
Gilbert,7,5,2004,1374,6,1,2009,170000
Gilbert,7,5,2004,1630,7,1,2009,189500
Gilbert,7,5,2004,1594,7,1,2009,195500
Gilbert,7,5,2004,1374,7,0,2009,167000
Somerst,7,5,2004,1221,6,0,2009,185000
SawyerW,6,5,2004,1158,5,0,2009,143500
SawyerW,7,5,2004,1812,8,0,2009,193000
SawyerW,8,5,2004,1512,6,0,2009,203000
SawyerW,7,5,2004,1114,6,0,2009,159000
SawyerW,5,5,2004,1114,6,0,2009,142000
Somerst,7,5,2004,3005,9,1,2009,280750
CollgCr,7,5,2004,1728,7,0,2009,190000
CollgCr,7,5,2004,1500,6,0,2009,190000
Mitchel,7,5,2004,1710,7,1,2009,240000
StoneBr,9,5,2004,1884,7,1,2008,387000
NridgHt,8,5,2004,2332,9,1,2008,316000
NridgHt,7,5,2004,1358,6,1,2008,207000
Blmngtn,7,5,2004,1576,7,1,2008,219990
Gilbert,6,5,2004,1515,8,1,2008,179000
Gilbert,6,5,2004,1593,8,1,2008,193000
Gilbert,7,5,2004,1490,8,1,2008,184000
SawyerW,7,5,2004,1080,6,0,2008,141000
SawyerW,5,5,2004,1114,6,0,2008,159000
SawyerW,6,5,2004,1640,6,0,2008,173000
Somerst,7,5,2004,1391,5,0,2008,196000
Somerst,7,5,2004,1245,5,0,2008,178000
CollgCr,6,5,2004,848,3,0,2008,145000
CollgCr,7,5,2004,1445,6,0,2008,186500
CollgCr,7,5,2004,1436,8,0,2008,210000
CollgCr,7,5,2004,1582,6,0,2008,185900
CollgCr,6,5,2004,848,3,1,2008,149300
CollgCr,6,5,2004,848,3,1,2008,141000
CollgCr,6,5,2004,848,3,1,2008,149000
CollgCr,6,5,2004,848,4,1,2008,144500
Crawfor,7,5,2004,1646,5,1,2008,250000
Crawfor,8,5,2004,1646,5,1,2008,275000
NridgHt,8,5,2004,2473,9,1,2007,317000
NridgHt,8,5,2004,2956,11,1,2007,342000
NridgHt,8,5,2004,2468,10,1,2007,354000
Gilbert,7,5,2004,1530,7,1,2007,259000
Gilbert,7,5,2004,1119,5,0,2007,188500
Gilbert,7,5,2004,1374,8,1,2007,175000
Gilbert,7,5,2004,1959,8,1,2007,215000
Gilbert,7,5,2004,1720,7,1,2007,183500
Somerst,8,5,2004,1694,7,1,2007,307000
Somerst,6,5,2004,2443,9,1,2007,265000
Somerst,8,5,2004,2466,8,1,2007,340000
Somerst,8,5,2004,1378,6,1,2007,214000
Somerst,7,5,2004,1102,4,0,2007,148800
CollgCr,8,5,2004,2000,8,0,2007,305900
CollgCr,7,5,2004,1422,7,0,2007,179600
